Nome do Estado;Sigla do Estado;População Total do Estado em 2010;População Urbana do Estado em 2010;População Rural do Estado em 2010;Produto;Quantidade Estabelecimentos;Quantidade de Estabelecimentos não ligados à Agricultura Familiar;Quantidade de Estabelecimentos ligados à Agricultura Familiar;Quantidade Produzida (t);Quantidade Produzida (t) não ligada à Agricultura Familiar;Quantidade Produzida (t) ligada à Agricultura Familiar;Quantidade Vendida (t);Quantidade Vendida não ligada à Agricultura Familiar (t);Quantidade Vendida ligada à Agricultura Familiar (t);Valor da Produção Total (em mil R$);Valor da Produção Total não ligada à Agricultura Familiar (em mil R$);Valor da Produção Total ligada à Agricultura Familiar (em mil R$);Valor da Venda Total (em mil R$);Valor da Venda Total não ligada à Agricultura Familiar (em mil R$);Valor da Venda Total ligada à Agricultura Familiar (em mil R$);Quantidade Vendida em 2018 (t);Valor Comercialiazado em 2018 (em mil R$);Preço Médio Praticado em 2018 (R$);Quantidade Vendida em 2019 (t);Valor Comercializado em 2019 (em mil R$);Preço Médio Praticado em 2019 (R$);Quantidade Vendida em 2020 (t);Valor Comercializado em 2020 (em mil R$);Preço Médio Praticado em 2020 (R$);Quantidade Vendida em 2021 (t);Valor Comercializado em 2021 (em mil R$);Preço Médio Praticado (R$) em 2021 (R$);Quantidade Vendida em 2022 (t);Valor Comercializado em 2022 (em mil R$);Preço Médio Praticado (R$) em 2022 (R$)
Goiás;GO;6003788;5420714;583074;Repolho;339;83;256;5489;2716;2773;5412;2696;2715;3202;1170;2031;3108;1157;1951;58421,87;57806,23;0,99;52668,84;71171,41;1,35;55513,33;70677,35;1,27;48319,89;71427,42;1,48;45913,63;67347,84;1,47
Goiás;GO;6003788;5420714;583074;Rúcula;748;157;591;559;249;310;532;239;293;3499;1513;1986;3346;1453;1893;23,33;129,49;5,55;18,13;76,2;4,2;20,38;86,23;4,23;27,91;125,57;4,5;13,52;83,06;6,14
Goiás;GO;6003788;5420714;583074;Salsa;829;183;646;422;170;252;390;160;231;2618;1117;1500;2429;1036;1393;277,39;1360,75;4,91;222,83;1215,38;5,45;228,07;1354,05;5,94;269,61;1608,52;5,97;174,32;1054,1;6,05
Goiás;GO;6003788;5420714;583074;Taioba;57;7;50;3;0;2;3;0;2;14;1;13;14;1;13;0,68;24,67;36,12;0,39;1,54;4;X;X;X;X;X;X;X;X;X
Goiás;GO;6003788;5420714;583074;Tomate (estaqueado);909;241;668;35460;23061;12399;35212;22944;12268;45651;29028;16623;45223;28809;16414;114474,45;239145,95;2,09;97864,01;276005,39;2,82;110418,12;306231,6;2,77;100749,43;313516,89;3,11;111791,19;437022,56;3,91
Goiás;GO;6003788;5420714;583074;Vagem (feijão vagem);220;28;192;1676;107;1569;1626;106;1520;3903;274;3629;3798;273;3525;3172,17;12393,28;3,91;3156,7;14660,6;4,64;2787,5;12235,64;4,39;3123,65;15903,47;5,09;2873,29;16674,21;5,8
Maranhão;MA;6574789;4147149;2427640;Abobrinha;173;29;144;164;47;117;158;46;111;206;53;154;194;52;142;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Acelga;5;-;5;0;-;0;0;-;0;2;-;2;2;-;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Agrião;20;2;18;25;X;X;25;X;X;184;X;X;184;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Alcachofra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
