Nome do Estado;Sigla do Estado;População Total do Estado em 2010;População Urbana do Estado em 2010;População Rural do Estado em 2010;Produto;Quantidade Estabelecimentos;Quantidade de Estabelecimentos não ligados à Agricultura Familiar;Quantidade de Estabelecimentos ligados à Agricultura Familiar;Quantidade Produzida (t);Quantidade Produzida (t) não ligada à Agricultura Familiar;Quantidade Produzida (t) ligada à Agricultura Familiar;Quantidade Vendida (t);Quantidade Vendida não ligada à Agricultura Familiar (t);Quantidade Vendida ligada à Agricultura Familiar (t);Valor da Produção Total (em mil R$);Valor da Produção Total não ligada à Agricultura Familiar (em mil R$);Valor da Produção Total ligada à Agricultura Familiar (em mil R$);Valor da Venda Total (em mil R$);Valor da Venda Total não ligada à Agricultura Familiar (em mil R$);Valor da Venda Total ligada à Agricultura Familiar (em mil R$);Quantidade Vendida em 2018 (t);Valor Comercialiazado em 2018 (em mil R$);Preço Médio Praticado em 2018 (R$);Quantidade Vendida em 2019 (t);Valor Comercializado em 2019 (em mil R$);Preço Médio Praticado em 2019 (R$);Quantidade Vendida em 2020 (t);Valor Comercializado em 2020 (em mil R$);Preço Médio Praticado em 2020 (R$);Quantidade Vendida em 2021 (t);Valor Comercializado em 2021 (em mil R$);Preço Médio Praticado (R$) em 2021 (R$);Quantidade Vendida em 2022 (t);Valor Comercializado em 2022 (em mil R$);Preço Médio Praticado (R$) em 2022 (R$)
Paraíba;PB;3766528;2838678;927850;Boldo;2;-;2;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Bucha (esponja vegetal);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Camomila;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Caruru;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Cará;483;99;384;5034;1750;3284;5023;1749;3274;7901;2733;5168;7883;2730;5153;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Cebolinha;964;140;824;963;518;445;948;517;432;2140;915;1225;2096;911;1185;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Cenoura;118;16;102;49;7;42;47;7;40;114;18;96;108;18;90;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Chicória;8;5;3;9;9;0;9;9;0;9;8;1;9;8;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Chuchu;32;3;29;27;4;24;26;4;22;36;4;32;34;4;30;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Coentro;2356;363;1993;5859;1769;4090;5629;1667;3963;14375;4904;9471;13868;4739;9129;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Cogumelos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Couve;894;131;763;1221;543;678;1207;542;665;1842;507;1335;1809;505;1304;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Couve-flor;109;10;99;50;3;47;46;3;43;196;28;168;181;28;154;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Ervilha (vagem);1;-;1;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Espinafre;119;18;101;119;76;43;118;76;42;242;90;152;239;90;149;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Gengibre;9;1;8;2;X;X;2;X;X;7;X;X;6;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Hortelã;82;14;68;53;20;33;52;20;33;138;43;95;135;43;92;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Inhame;3430;602;2828;10046;3103;6943;9678;3027;6652;20976;5680;15296;19865;5488;14378;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Jiló;73;16;57;221;113;108;221;113;108;232;104;128;231;104;127;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Lentilha;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Manjericão;36;11;25;23;15;8;23;15;8;72;41;31;71;40;31;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Maxixe;289;44;245;237;52;186;229;52;178;324;64;261;312;63;249;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Milho verde (espiga);4430;952;3478;8604;2062;6542;7707;1859;5847;8011;1833;6178;6971;1584;5387;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Morango;1;-;1;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Mostarda (semente);3;1;2;1;X;X;1;X;X;3;X;X;3;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Nabo;20;4;16;18;2;16;18;2;15;15;4;11;15;4;11;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Orégano;2;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Pepino;84;17;67;132;46;86;127;44;82;158;68;90;146;61;85;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Pimenta;97;18;79;18;3;15;18;3;15;86;19;67;84;19;66;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Pimentão;711;119;592;3519;1151;2368;3417;1144;2273;3949;1124;2825;3818;1117;2702;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Quiabo;499;67;432;448;94;354;435;93;342;739;205;534;700;203;497;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Rabanete;25;7;18;7;4;3;7;4;3;18;7;12;18;7;11;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Repolho;45;12;33;778;537;241;778;537;241;1075;538;537;1074;538;536;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Rúcula;102;23;79;164;48;116;163;47;116;952;99;853;948;98;850;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Salsa;95;18;77;92;31;61;92;31;61;144;55;89;142;55;87;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Taioba;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Tomate (estaqueado);259;47;212;3447;2487;960;3421;2485;937;3480;2260;1220;3443;2256;1187;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Vagem (feijão vagem);87;18;69;65;18;47;63;17;46;111;32;79;107;30;77;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pernambuco;PE;8796448;7052210;1744238;Abobrinha;267;26;241;717;74;643;685;73;612;637;83;554;607;81;526;498,56;1063,43;2,13;525,57;1125,96;2,14;657,58;1505,54;2,29;675,54;1459,67;2,16;503,44;1253,54;2,49
Pernambuco;PE;8796448;7052210;1744238;Acelga;101;14;87;110;49;61;107;48;59;217;62;155;207;58;149;1664,65;4875,98;2,93;1306,39;3674,41;2,81;1352,28;3921,11;2,9;1336,92;3794,68;2,84;1188,77;4228,62;3,56
Pernambuco;PE;8796448;7052210;1744238;Agrião;34;9;25;17;5;12;17;5;12;62;31;32;62;31;31;0,26;3,11;11,95;0,22;2,52;11,47;1,63;18,63;11,43;0,14;1,53;10,99;X;X;X
Pernambuco;PE;8796448;7052210;1744238;Alcachofra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pernambuco;PE;8796448;7052210;1744238;Alecrim;47;9;38;26;4;22;26;4;22;105;15;90;105;15;90;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pernambuco;PE;8796448;7052210;1744238;Alface;3453;461;2992;12829;3715;9114;12356;3604;8753;22831;7100;15730;21743;6712;15031;2549,64;5255,53;2,06;1518,05;3732,23;2,46;1537,77;4607,97;3;2793,72;9094,1;3,26;3430,01;14460,72;4,22
Pernambuco;PE;8796448;7052210;1744238;Alho-porró;85;14;71;55;27;28;50;27;23;274;130;144;241;130;111;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pernambuco;PE;8796448;7052210;1744238;Almeirão;9;3;6;4;3;2;4;3;2;24;20;4;24;20;3;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pernambuco;PE;8796448;7052210;1744238;Aspargo;1;1;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pernambuco;PE;8796448;7052210;1744238;Batata-baroa (mandioquinha);93;13;80;456;50;406;452;50;402;466;39;427;462;39;423;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pernambuco;PE;8796448;7052210;1744238;Batata-doce;8988;1319;7669;13122;2583;10538;11868;2353;9515;16320;3349;12971;14555;3054;11501;25683,26;52477,47;2,04;27312,69;54218,18;1,99;28673,04;62419,28;2,18;22764,66;56207,21;2,47;30197,69;91277,73;3,02
Pernambuco;PE;8796448;7052210;1744238;Berinjela;226;31;195;798;190;608;794;189;605;672;168;504;664;167;497;687,47;1468,44;2,14;657,94;1510,89;2,3;815,16;1642,87;2,02;645,61;1344,08;2,08;438,75;1355,88;3,09
Pernambuco;PE;8796448;7052210;1744238;Bertalha;6;1;5;2;X;X;1;X;X;5;X;X;4;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pernambuco;PE;8796448;7052210;1744238;Beterraba;176;19;157;264;53;210;259;52;207;528;88;440;518;88;431;2152,2;3576,19;1,66;1543,3;2734,05;1,77;1579,44;3153,47;2;2185,08;4686,94;2,14;2279,67;6508,83;2,86
Pernambuco;PE;8796448;7052210;1744238;Boldo;5;2;3;0;X;X;0;X;X;1;X;X;1;X;X;139,95;2293,0;16,38;109,14;1637,17;15;364,8;5471,93;15;60,3;944,6;15,67;46,81;1527,01;32,62
Pernambuco;PE;8796448;7052210;1744238;Bucha (esponja vegetal);2;-;2;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pernambuco;PE;8796448;7052210;1744238;Camomila;1;1;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pernambuco;PE;8796448;7052210;1744238;Caruru;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pernambuco;PE;8796448;7052210;1744238;Cará;1183;126;1057;11901;2143;9757;9982;2112;7870;16733;2711;14022;13901;2663;11238;22484,4;59657,77;2,65;23502,48;53751,27;2,29;24059,98;61444,81;2,55;27197,37;54530,81;2,01;22690,65;67369,88;2,97
Pernambuco;PE;8796448;7052210;1744238;Cebolinha;2623;397;2226;3321;841;2480;3234;832;2402;5743;1202;4541;5476;1166;4310;618,58;1117,4;1,81;314,84;935,44;2,97;267,25;773,19;2,89;409,53;977,88;2,39;297,34;1443,08;4,85
Pernambuco;PE;8796448;7052210;1744238;Cenoura;434;49;385;905;69;835;875;66;809;1515;108;1407;1457;101;1356;18908,44;37182,62;1,97;18330,57;43775,13;2,39;21015,12;54548,73;2,6;20810,58;48106,26;2,31;17331,03;69341,31;4
Pernambuco;PE;8796448;7052210;1744238;Chicória;8;3;5;26;4;23;26;4;23;26;13;13;26;13;13;X;X;X;X;X;X;0,01;0,02;4,46;4,12;20,44;4,96;0,13;0,72;5,36
Pernambuco;PE;8796448;7052210;1744238;Chuchu;897;79;818;25639;4026;21612;25554;4024;21530;13177;1969;11208;13116;1966;11150;8804,63;7404,17;0,84;9135,94;12204,31;1,34;8633,03;11796,28;1,37;9149,9;11345,51;1,24;8832,46;14761,19;1,67
Pernambuco;PE;8796448;7052210;1744238;Coentro;5128;759;4369;14617;2550;12067;14171;2439;11732;25800;3653;22146;24733;3448;21285;4141,31;11469,61;2,77;6358,66;22197,35;3,49;6495,26;28720,85;4,42;5685,84;19586,68;3,44;6920,02;25490,82;3,68
Pernambuco;PE;8796448;7052210;1744238;Cogumelos;2;2;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pernambuco;PE;8796448;7052210;1744238;Couve;1193;166;1027;2865;619;2246;2820;599;2220;4694;1139;3554;4501;1018;3483;757,62;3774,66;4,98;952,83;4701,82;4,93;892,6;5204,97;5,83;642,62;3009,5;4,68;605,9;4022,23;6,64
Pernambuco;PE;8796448;7052210;1744238;Couve-flor;339;35;304;742;83;659;735;83;652;1401;72;1329;1373;69;1304;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pernambuco;PE;8796448;7052210;1744238;Ervilha (vagem);3;-;3;2;-;2;2;-;2;1;-;1;1;-;1;300,08;3498,39;11,66;321,99;3102,04;9,63;364,31;3392,46;9,31;323,32;2759,53;8,53;234,66;2163,78;9,22
Pernambuco;PE;8796448;7052210;1744238;Espinafre;118;12;106;55;9;45;53;9;44;152;32;120;142;32;111;4,86;10,1;2,08;6,89;15,63;2,27;8,6;24,32;2,83;23,13;70,78;3,06;0,81;2,94;3,62
Pernambuco;PE;8796448;7052210;1744238;Gengibre;8;1;7;2;X;X;1;X;X;5;X;X;5;X;X;112,84;1130,78;10,02;78,11;505,95;6,48;81,63;489,77;6;74,14;601,46;8,11;128,85;1015,58;7,88
Pernambuco;PE;8796448;7052210;1744238;Hortelã;146;23;123;126;45;80;124;45;79;403;183;220;399;183;216;1,87;13,04;6,97;2,5;27,0;10,81;10,98;113,22;10,31;6,92;95,56;13,81;0,06;0,46;7,77
Pernambuco;PE;8796448;7052210;1744238;Inhame;2781;513;2268;7796;1840;5956;7329;1701;5627;18391;4653;13738;17068;4215;12853;3046,94;12890,22;4,23;1979,65;8723,25;4,41;1791,31;9659,33;5,39;1413,37;7554,57;5,35;1438,96;7242,44;5,03
Pernambuco;PE;8796448;7052210;1744238;Jiló;128;18;110;500;135;365;499;135;364;476;132;345;474;132;343;109,79;319,35;2,91;130,0;427,91;3,29;182,44;572,68;3,14;177,44;634,97;3,58;108,57;472,29;4,35
Pernambuco;PE;8796448;7052210;1744238;Lentilha;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pernambuco;PE;8796448;7052210;1744238;Manjericão;90;14;76;56;9;47;56;9;47;145;38;106;144;38;106;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pernambuco;PE;8796448;7052210;1744238;Maxixe;1001;128;873;1700;144;1557;1674;139;1536;1410;143;1267;1367;136;1231;910,14;3186,84;3,5;819,69;2857,29;3,49;966,85;3941,3;4,08;759,12;3240,61;4,27;371,28;2188,52;5,89
Pernambuco;PE;8796448;7052210;1744238;Milho verde (espiga);14098;2448;11650;24707;4357;20350;20663;3751;16912;23756;4026;19730;19397;3254;16142;12510,59;18734,73;1,5;10328,39;17560,23;1,7;9515,99;16013,09;1,68;11528,9;19314,62;1,68;10144,75;24741,96;2,44
Pernambuco;PE;8796448;7052210;1744238;Morango;12;4;8;16;10;6;16;10;6;125;52;73;124;51;73;5082,69;88222,57;17,36;4559,07;96334,18;21,13;4891,12;115446,01;23,6;5205,24;130572,28;25,08;4383,94;130935,2;29,87
Pernambuco;PE;8796448;7052210;1744238;Mostarda (semente);11;3;8;7;0;6;7;0;6;10;1;9;10;1;9;120,82;1658,82;13,73;285,11;3909,41;13,71;152,11;2088,48;13,73;175,72;1391,05;7,92;243,37;2129,51;8,75
Pernambuco;PE;8796448;7052210;1744238;Nabo;20;4;16;11;8;3;11;8;3;32;21;10;31;21;10;0,35;2,05;5,86;X;X;X;X;X;X;4,0;14,35;3,59;7,32;29,42;4,02
Pernambuco;PE;8796448;7052210;1744238;Orégano;4;1;3;0;X;X;0;X;X;1;X;X;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pernambuco;PE;8796448;7052210;1744238;Pepino;496;64;432;4247;496;3751;4160;463;3698;2580;494;2086;2512;467;2044;3604,63;5517,21;1,53;2998,26;4340,23;1,45;3169,5;5257,19;1,66;4210,34;7404,34;1,76;4788,19;6570,11;1,37
Pernambuco;PE;8796448;7052210;1744238;Pimenta;446;75;371;364;54;310;354;49;305;1718;1101;617;1585;986;599;107,19;840,12;7,84;169,13;1265,6;7,48;315,36;2380,45;7,55;312,19;2201,22;7,05;194,59;1573,99;8,09
Pernambuco;PE;8796448;7052210;1744238;Pimentão;1367;188;1179;8460;2221;6239;8315;2210;6105;8532;2158;6374;8141;2146;5995;14488,68;22132,95;1,53;13542,44;27011,61;1,99;12994,5;28952,59;2,23;9593,52;23764,1;2,48;9821,28;26164,49;2,66
Pernambuco;PE;8796448;7052210;1744238;Quiabo;1691;215;1476;3888;516;3372;3700;509;3191;4405;541;3864;4276;524;3752;634,95;2122,7;3,34;640,63;2421,81;3,78;641,9;2569,61;4;903,42;4568,44;5,06;559,44;3490,79;6,24
Pernambuco;PE;8796448;7052210;1744238;Rabanete;64;7;57;21;3;18;21;3;18;59;13;45;58;13;45;0,07;0,5;7,75;X;X;X;X;X;X;X;X;X;0,03;0,25;7,68
Pernambuco;PE;8796448;7052210;1744238;Repolho;227;28;199;3694;742;2951;3593;715;2878;3506;479;3026;3407;460;2947;7550,53;18023,92;2,39;7624,27;21558,87;2,83;9178,98;24707,85;2,69;8749,29;24152,98;2,76;8711,38;16875,58;1,94
Pernambuco;PE;8796448;7052210;1744238;Rúcula;250;40;210;272;64;208;262;63;198;554;237;317;543;235;307;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pernambuco;PE;8796448;7052210;1744238;Salsa;224;30;194;174;57;118;169;56;112;458;139;319;439;138;301;14,91;208,81;14;10,9;225,95;20,73;3,51;69,82;19,91;23,95;385,63;16,1;15,23;472,64;31,03
Pernambuco;PE;8796448;7052210;1744238;Taioba;1;-;1;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pernambuco;PE;8796448;7052210;1744238;Tomate (estaqueado);398;63;335;2444;1076;1368;2410;1068;1342;3272;1801;1471;3187;1782;1405;48133,65;77918,56;1,62;48946,15;107520,26;2,2;46915,12;106526,61;2,27;47547,74;108404,6;2,28;52294,0;152151,97;2,91
Pernambuco;PE;8796448;7052210;1744238;Vagem (feijão vagem);234;35;199;435;118;317;426;116;311;785;356;429;772;352;421;857,73;3231,75;3,77;675,37;3242,93;4,8;834,57;3518,71;4,22;683,27;3315,6;4,85;437,0;2967,28;6,79
Piauí;PI;3118360;2050959;1067401;Abobrinha;194;18;176;68;12;56;57;12;46;129;15;114;107;14;93;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Acelga;40;4;36;5;0;5;5;0;4;19;2;17;18;1;16;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Agrião;14;3;11;0;0;0;0;0;0;2;0;2;1;0;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Alcachofra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Alecrim;7;4;3;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Alface;2378;297;2081;746;103;644;676;79;597;3954;537;3417;3639;470;3169;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Alho-porró;6;1;5;1;X;X;0;X;X;5;X;X;3;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Almeirão;3;-;3;0;-;0;0;-;0;0;-;0;0;-;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Aspargo;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Batata-baroa (mandioquinha);7;-;7;7;-;7;6;-;6;17;-;17;16;-;16;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Batata-doce;321;43;278;117;23;93;94;19;75;262;48;214;206;34;172;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Berinjela;137;18;119;9;1;8;8;1;7;29;1;27;24;1;23;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Bertalha;1;1;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Beterraba;99;19;80;19;4;15;15;3;12;44;10;34;35;8;27;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Boldo;53;9;44;0;0;0;0;0;0;1;0;1;1;0;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Bucha (esponja vegetal);2;-;2;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Camomila;6;1;5;0;X;X;0;X;X;0;X;X;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Caruru;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Cará;3;-;3;0;-;0;-;-;-;0;-;0;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Cebolinha;3587;442;3145;1347;101;1246;1238;94;1143;8759;641;8118;8032;583;7449;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Cenoura;67;12;55;12;2;10;10;1;9;25;4;21;22;3;19;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Chicória;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Chuchu;8;-;8;0;-;0;0;-;0;0;-;0;0;-;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Coentro;4232;546;3686;1721;140;1581;1594;132;1462;11116;932;10184;10280;878;9401;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Cogumelos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Couve;918;96;822;312;25;287;295;24;271;1066;92;974;1016;84;932;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Couve-flor;63;10;53;8;0;7;7;0;7;56;3;53;54;2;52;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Ervilha (vagem);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Espinafre;6;-;6;0;-;0;0;-;0;2;-;2;2;-;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Gengibre;58;8;50;1;0;1;1;0;1;6;0;6;5;0;5;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Hortelã;106;18;88;2;0;1;1;0;1;9;0;9;9;0;9;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Inhame;6;1;5;0;X;X;0;X;X;2;X;X;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Jiló;16;-;16;2;-;2;2;-;2;5;-;5;5;-;5;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Lentilha;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Manjericão;53;7;46;1;0;1;1;0;1;7;0;7;6;0;6;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Maxixe;1040;127;913;208;23;185;152;18;133;471;63;408;323;48;275;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Milho verde (espiga);1378;273;1105;1693;568;1124;1442;518;924;1922;541;1381;1624;467;1157;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Morango;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Mostarda (semente);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Nabo;2;-;2;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Orégano;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Pepino;121;15;106;39;15;24;33;14;19;69;14;55;56;12;44;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Pimenta;886;130;756;154;10;144;137;9;127;809;33;776;729;28;700;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Pimentão;973;142;831;237;62;175;221;59;161;633;122;511;581;113;468;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Piauí;PI;3118360;2050959;1067401;Quiabo;1226;153;1073;339;25;315;305;20;285;742;73;669;659;64;596;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
