Nome do Estado;Sigla do Estado;População Total do Estado em 2010;População Urbana do Estado em 2010;População Rural do Estado em 2010;Produto;Quantidade Estabelecimentos com 50 pés e mais existentes;Quantidade de Estabelecimentos com 50 pés e mais existentes não ligados à Agricultura Familiar;Quantidade de Estabelecimentos com 50 pés e mais existentes ligados à Agricultura Familiar;Quantidade Produzida em estabelecimentos com 50 pés e mais existentes (t);Quantidade Produzida em estabelecimentos com 50 pés e mais existentes não ligada à Agricultura Familiar (t);Quantidade Produzida em estabelecimentos com 50 pés e mais existentes ligada à Agricultura Familiar (t);Quantidade Vendida em estabelecimentos com 50 pés e mais existentes (t);Quantidade Vendida em estabelecimentos com 50 pés e mais existentes não ligada à Agricultura Familiar (t);Quantidade Vendida em estabelecimentos com 50 pés e mais existentes ligada à Agricultura Familiar (t);Valor da Produção Total das lavouras permanentes com 50 pés e mais (em mil R$);Valor da Produção Total das lavouras permanentes com 50 pés e mais não ligada à Agricultura Familiar (em mil R$);Valor da Produção Total das lavouras permanentes com 50 pés e mais ligada à Agricultura Familiar (em mil R$);Valor da Venda Total nas lavouras permanentes com 50 pés e mais (em mil R$);Valor da Venda Total nas lavouras permanentes com 50 pés e mais não ligada à Agricultura Familiar (em mil R$);Valor da Venda Total nas lavouras permanentes com 50 pés e mais ligada à Agricultura Familiar (em mil R$);Quantidade de pés colhidos nos estabelecimentos com 50 pés e mais;Quantidade de pés colhidos nos estabelecimentos com 50 pés e mais não ligada à Agricultura Familiar;Quantidade de pés colhidos nos estabelecimentos com 50 pés e mais ligada à Agricultura Familiar;Área colhida com 50 pés e mais (ha);Área colhida com 50 pés e mais não ligada à Agricultura Familiar (ha);Área colhida com 50 pés e mais ligada à Agricultura Familiar (ha);Área total existente na data de referência nas lavouras permanentes com 50 pés e mais (ha);Área total existente na data de referência nas lavouras permanentes com 50 pés e mais não ligada à Agricultura Familiar (ha);Área total existente na data de referência nas lavouras permanentes com 50 pés e mais ligada à Agricultura Familiar (ha);Quantidade de pés nos estabelecimentos com 50 pés e mais;Quantidades de pés nos estabelecimentos com 50 pés e mais não ligada à Agricultura Familiar;Quantidade de pés nos estabelecimentos com 50 pés e mais ligada à Agricultura Familiar;Quantidade de Estabelecimentos com menos de 50 pés;Quantidade de Estabelecimentos com menos de 50 pés não ligada à Agricultura Familiar;Quantidade de Estabelecimentos com menos de 50 pés ligada à Agricultura Familiar;Quantidade de pés nos estabelecimentos com menos de 50 pés;Quantidade de pés nos estabelecimentos com menos de 50 pés não ligada à Agricultura Familiar;Quantidade de pés nos estabelecimentos com menos de 50 pés ligada à Agricultura Familiar;Valor da Venda Total nos estabelecimentos com menos de 50 pés (em mil R$);Valor da Venda Total nos estabelecimentos com menos de 50 pés não ligada à Agricultura Familiar (em mil R$);Valor da Venda Total nos estabelecimentos com menos de 50 pés ligada à Agricultura Familiar (em mil R$);Quantidade Vendida em 2018 (t);Valor Comercialiazado em 2018 (em mil R$);Preço Médio Praticado em 2018 (R$);Quantidade Vendida em 2019 (t);Valor Comercializado em 2019 (em mil R$);Preço Médio Praticado em 2019 (R$);Quantidade Vendida em 2020 (t);Valor Comercializado em 2020 (em mil R$);Preço Médio Praticado em 2020 (R$);Quantidade Vendida em 2021 (t);Valor Comercializado em 2021 (em mil R$);Preço Médio Praticado em 2021 (R$);Quantidade Vendida em 2022 (t);Valor Comercializado em 2022 (em mil R$);Preço Médio Praticado em 2022 (R$)
Pará;PA;7581051;5191559;2389492;Lichia;1;0;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;5;2;3;0;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pará;PA;7581051;5191559;2389492;Lima;3;0;3;47;X;X;46;X;X;94;X;X;93;X;X;1;X;X;2;X;X;2;X;X;1;X;X;711;111;600;1;0;1;2;-;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pará;PA;7581051;5191559;2389492;Limão;2175;364;1811;26522;11999;14523;26152;11919;14233;27366;10798;16568;26734;10686;16048;912;286;625;3159;1032;2127;5090;1692;3398;1477;461;1016;21095;2682;18413;61;8;53;1629;153;1476;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pará;PA;7581051;5191559;2389492;Louro (folha);0;-;0;X;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;-;X;5;-;5;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pará;PA;7581051;5191559;2389492;Mamão;1024;150;874;7188;1834;5354;6937;1755;5182;8536;2461;6075;8215;2379;5836;467;138;329;467;138;329;911;318;594;831;242;589;5294;785;4509;22;2;19;434;16;418;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pará;PA;7581051;5191559;2389492;Manga;161;29;132;162;35;126;63;12;52;308;64;244;67;9;58;8;2;7;77;11;66;183;43;140;18;4;14;22623;3099;19524;75;11;64;746;45;700;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pará;PA;7581051;5191559;2389492;Maracujá;2004;317;1687;6306;890;5416;5960;858;5102;9687;1277;8409;9006;1194;7812;699;121;578;969;185;784;1496;296;1201;944;170;774;3554;611;2943;11;2;10;316;24;292;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pará;PA;7581051;5191559;2389492;Maçã;0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;8;1;7;0;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pará;PA;7581051;5191559;2389492;Nectarina;0;-;0;X;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;-;X;1;-;1;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pará;PA;7581051;5191559;2389492;Noz (europeia, pecã);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pará;PA;7581051;5191559;2389492;Nêspera;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pará;PA;7581051;5191559;2389492;Palmito;276;52;224;412;331;81;384;326;58;889;668;221;791;657;134;206;65;142;723;115;608;1509;238;1270;1299;197;1102;924;107;817;1;0;1;18;1;17;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pará;PA;7581051;5191559;2389492;Pera;0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;6;3;3;0;0;0;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pará;PA;7581051;5191559;2389492;Pimenta-do-reino;17477;1966;15511;22735;6436;16299;21369;5891;15478;204519;60847;143672;192049;55468;136581;18610;4432;14178;19567;3467;16100;22004;5201;16802;26825;6217;20608;2442;264;2178;15;1;14;673;201;472;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pará;PA;7581051;5191559;2389492;Pitaia;77;42;35;152;119;32;150;118;32;641;464;176;622;448;174;32;24;7;41;34;7;103;80;23;86;66;21;131;52;79;0;0;0;9;-;9;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pará;PA;7581051;5191559;2389492;Pitanga;2;0;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;264;51;213;0;0;0;0;-;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pará;PA;7581051;5191559;2389492;Pupunha (cacho frutos);932;103;829;2053;311;1742;1359;253;1106;7833;1281;6551;3101;700;2401;210;62;148;556;152;404;840;227;613;285;78;207;6207;681;5526;34;3;31;423;23;400;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pará;PA;7581051;5191559;2389492;Pêssego;0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;2;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pará;PA;7581051;5191559;2389492;Romã;1;0;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;198;33;165;0;0;0;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pará;PA;7581051;5191559;2389492;Tangerina, bergamota, mexerica;391;61;330;3656;1457;2198;3533;1437;2096;1453;441;1012;1302;417;885;115;26;89;362;102;259;499;135;364;133;33;100;5184;830;4354;18;3;15;276;12;263;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pará;PA;7581051;5191559;2389492;Urucum (semente);1444;135;1309;807;35;772;787;34;752;5179;228;4951;5068;225;4843;933;46;886;1955;81;1874;2459;333;2125;1588;166;1423;6074;556;5518;12;1;11;44;2;42;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pará;PA;7581051;5191559;2389492;Uva (mesa);0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;9;3;6;0;-;0;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pará;PA;7581051;5191559;2389492;kiwi;0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;4;3;1;0;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Abacate;24;5;19;47;11;36;45;11;34;36;8;28;36;8;27;1;0;1;13;1;11;18;2;16;2;0;1;6543;1603;4940;9;2;8;239;42;197;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Abacate;24;5;19;47;11;36;45;11;34;36;8;28;36;8;27;1;0;1;13;1;11;18;2;16;2;0;1;6543;1603;4940;9;2;8;239;42;197;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Acerola;487;112;375;4925;2470;2455;4795;2413;2382;6279;3237;3042;6063;3142;2922;182;84;97;458;210;249;558;236;323;216;85;130;20558;5058;15500;23;6;17;120;14;106;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Algodão arbóreo;7;1;6;1;X;X;1;X;X;5;X;X;5;X;X;9;X;X;4;X;X;5;X;X;11;X;X;31;2;29;0;X;X;6;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Ameixa;0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;25;7;18;0;0;0;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Amora (folha);0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;51;22;29;0;0;0;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Atemoia;0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;22;8;14;0;0;0;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Azeitona (oliveira);3;1;2;0;X;X;-;X;X;0;X;X;-;X;X;0;X;X;0;X;X;1;X;X;0;X;X;257;53;204;0;0;0;0;-;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Açaí (fruto);0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;37;12;25;0;0;0;1;-;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Banana;5184;824;4360;39015;11339;27676;32522;9547;22975;51873;13852;38020;43849;11501;32349;5393;1619;3773;5664;1702;3962;7077;2048;5029;8332;2303;6029;13710;3376;10334;43;10;34;345;29;316;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Cacau (amêndoa);0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;19;7;12;0;0;0;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Café arábica em grão (verde);3;1;2;1;X;X;1;X;X;2;X;X;2;X;X;1;X;X;4;X;X;5;X;X;2;X;X;57;7;50;0;0;0;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Café canephora (robusta, conilon) em grão (verde);6;4;2;1;X;X;0;X;X;5;3;X;3;X;X;1;X;X;4;X;X;4;X;X;1;X;X;23;4;19;0;-;0;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Caju (castanha);1064;207;857;293;55;238;276;52;224;917;151;766;870;144;727;105;18;87;722;146;576;1172;254;918;187;38;150;9045;1992;7053;42;8;34;872;78;794;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Caju (fruto);1123;237;886;565;113;453;340;62;278;877;212;664;431;96;335;74;15;59;446;103;343;1181;279;902;198;43;155;26336;5987;20349;87;17;70;106;11;95;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Caqui;0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;16;5;11;0;0;0;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Carambola;0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;848;228;620;1;0;0;8;0;7;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Figo;0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;43;17;26;0;0;0;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Goiaba;176;54;122;677;305;372;586;230;356;915;450;465;779;337;442;43;16;27;114;46;68;186;91;95;70;35;35;15736;3760;11976;17;4;12;50;20;31;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Graviola;76;20;56;82;45;36;74;43;31;219;115;104;206;111;96;12;5;7;51;22;30;85;32;52;23;8;14;10808;2715;8093;11;3;8;36;7;29;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Jabuticaba;90;15;75;203;25;178;178;19;158;299;22;276;272;13;258;8;1;7;48;9;39;70;16;54;11;2;9;5617;1414;4203;13;3;10;107;12;95;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Jaca;57;27;30;62;26;36;23;8;15;121;53;69;50;23;27;2;1;1;33;17;15;52;27;25;5;2;3;13135;3040;10095;24;5;19;383;68;315;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Jambo;0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;967;305;662;1;0;0;1;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Laranja;599;110;489;2125;519;1606;1921;492;1428;1366;328;1038;1221;308;913;168;35;132;437;96;340;601;146;456;237;52;185;17794;4189;13605;33;7;26;429;176;253;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Lichia;0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;21;10;11;0;0;0;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Lima;1;0;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;31;11;20;0;0;0;1;-;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Limão;371;87;284;1150;577;573;1115;575;539;1663;978;685;1608;976;632;80;32;48;288;129;160;363;146;217;117;44;73;11218;2863;8355;13;3;10;412;70;343;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Louro (folha);0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;201;35;166;0;0;0;0;-;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Mamão;452;76;376;16698;12977;3721;16285;12732;3554;16691;13283;3408;16343;13092;3252;586;385;201;467;283;184;569;306;262;722;415;307;10831;2578;8253;12;3;9;186;13;173;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Manga;229;68;161;773;346;427;717;320;397;1464;991;474;1411;968;443;21;9;11;194;88;106;298;117;181;37;14;23;26832;6131;20701;60;13;47;1058;193;865;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Maracujá;1138;201;937;4332;1088;3243;4057;1065;2992;6691;1636;5055;6200;1582;4618;649;164;485;762;196;566;1035;262;774;875;222;653;5716;1383;4333;7;1;6;495;196;298;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Maçã;0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;51;16;35;0;0;0;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Nectarina;0;-;0;X;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;-;X;1;-;1;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Noz (europeia, pecã);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Nêspera;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Palmito;2;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Pera;0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;15;6;9;0;0;0;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Pimenta-do-reino;22;3;19;1;0;1;1;0;1;20;1;18;19;1;18;2;0;2;8;1;7;10;2;8;3;0;2;404;99;305;2;1;1;32;17;15;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Pitaia;1;1;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;14;3;11;0;0;0;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Pitanga;3;2;1;0;X;X;-;X;X;0;X;X;-;X;X;0;X;X;1;X;X;1;X;X;0;X;X;809;245;564;1;0;0;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Pupunha (cacho frutos);0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;88;14;74;0;0;0;4;-;4;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Pêssego;0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;6;2;4;0;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Romã;1;0;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;2293;561;1732;1;0;1;0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Tangerina, bergamota, mexerica;1036;206;830;6927;1253;5675;6800;1228;5572;4206;709;3497;4118;696;3422;494;83;411;1170;222;949;1716;382;1334;760;150;610;2603;779;1824;7;2;5;64;16;49;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Urucum (semente);283;18;265;92;2;90;84;2;82;836;22;814;761;22;739;127;3;125;264;8;257;301;10;292;147;3;143;1004;221;783;2;0;2;21;4;17;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;Uva (mesa);106;9;97;662;199;464;600;139;462;1304;406;898;1180;286;894;131;37;95;78;16;62;92;22;70;146;45;102;114;35;79;0;0;0;20;14;6;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Paraíba;PB;3766528;2838678;927850;kiwi;0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;3;2;1;0;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pernambuco;PE;8796448;7052210;1744238;Abacate;41;13;28;137;62;75;128;62;66;164;87;77;156;86;70;5;3;2;28;12;16;64;30;34;10;6;5;9849;1893;7956;14;2;12;459;65;393;3413,66;12941,98;3,79;3544,41;12824,6;3,62;5800,67;21613,83;3,73;4763,47;22374,74;4,7;4284370;25904,73;0,01
Pernambuco;PE;8796448;7052210;1744238;Acerola;1802;418;1384;21351;8113;13237;21120;8023;13097;28926;10996;17930;28617;10873;17744;647;207;440;1465;424;1041;2023;620;1404;901;300;601;21410;4052;17358;33;6;27;284;37;247;5103,34;11508,97;2,26;5692,96;12477,12;2,19;6369,84;14925,54;2,34;6459,15;14415,18;2,23;6038229;18436,63;0,0
Pernambuco;PE;8796448;7052210;1744238;Algodão arbóreo;5;0;5;3;X;X;3;X;X;1;X;X;1;X;X;7;X;X;4;X;X;19;X;X;17;X;X;34;7;27;0;0;0;-;-;-;23,88;1384,17;57,96;20,66;1221,96;59,13;28,75;1682,22;58,51;12,07;705,12;58,4;12593;736,06;0,06
Pernambuco;PE;8796448;7052210;1744238;Ameixa;0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;39;11;28;0;0;0;-;-;-;81,45;1050,48;12,9;119,94;1597,65;13,32;150,17;2026,4;13,49;83,83;1508,87;18;195728;5362,42;0,03
Pernambuco;PE;8796448;7052210;1744238;Amora (folha);0;0;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;82;24;58;0;0;0;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pernambuco;PE;8796448;7052210;1744238;Atemoia;3;1;2;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;2;X;X;1;X;X;158;23;135;0;0;0;14;-;14;1,33;16,46;12,33;21,39;256,62;12;67,24;806,84;12;103,05;1236,9;12;155175;2272,82;0,01
Pernambuco;PE;8796448;7052210;1744238;Azeitona (oliveira);5;4;1;1;X;X;0;X;X;3;X;X;1;X;X;0;X;X;1;X;X;1;X;X;0;X;X;1732;334;1398;2;0;2;3;0;2;668,64;10806,99;16,16;316,0;5555,92;17,58;499,67;9780,02;19,57;919,4;21178,62;23,04;1073086;29371,79;0,03
Pernambuco;PE;8796448;7052210;1744238;Açaí (fruto);27;9;18;14;2;12;12;0;12;48;3;45;42;1;41;8;0;7;10;3;7;41;23;18;38;17;21;95;24;71;1;0;0;4;2;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pernambuco;PE;8796448;7052210;1744238;Banana;18366;2479;15887;240434;70896;169538;186580;54992;131587;239305;67532;171773;175802;48170;127632;26663;8670;17994;25411;7360;18051;32428;8635;23793;37927;11102;26825;17366;3373;13993;81;16;65;1994;348;1645;57877,73;49577,64;0,86;53114,35;54308,0;1,02;54785,43;67506,05;1,23;59587,93;90510,9;1,52;65448082;107774,69;0,0
Pernambuco;PE;8796448;7052210;1744238;Cacau (amêndoa);4;1;3;7;X;X;0;X;X;33;X;X;1;X;X;2;X;X;3;X;X;3;X;X;2;X;X;108;23;85;0;0;0;9;0;8;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pernambuco;PE;8796448;7052210;1744238;Café arábica em grão (verde);333;46;287;46;4;42;16;2;14;241;25;216;78;13;64;115;13;101;149;11;138;567;65;502;513;55;458;414;58;356;2;0;2;12;0;12;1503,06;28511,82;18,97;1573,69;27295,46;17,34;1287,03;21731,35;16,88;1297,16;26039,67;20,07;1082149;34447,74;0,03
Pernambuco;PE;8796448;7052210;1744238;Café canephora (robusta, conilon) em grão (verde);40;9;31;8;2;6;3;1;2;35;14;21;15;10;5;18;3;15;17;3;14;51;15;36;62;33;29;30;4;26;0;0;0;-;-;-;1503,06;28511,82;18,97;1573,69;27295,46;17,34;1287,03;21731,35;16,88;1297,16;26039,67;20,07;1082149;34447,74;0,03
Pernambuco;PE;8796448;7052210;1744238;Caju (castanha);815;113;702;318;72;246;261;70;192;902;154;748;738;149;589;222;111;110;1315;650;665;1813;734;1079;299;122;177;4923;760;4163;29;4;25;576;54;522;3393,52;8440,87;2,49;4430,16;10574,3;2,39;4871,79;10829,97;2,22;4160,91;10252,13;2,46;4662301;13931,44;0,0
Pernambuco;PE;8796448;7052210;1744238;Caju (fruto);1353;249;1104;3901;3048;853;3293;2717;575;6057;4445;1612;5124;3994;1130;297;211;86;1089;593;496;2576;919;1656;565;266;299;27684;4750;22934;98;15;83;233;32;201;3393,52;8440,87;2,49;4430,16;10574,3;2,39;4871,79;10829,97;2,22;4160,91;10252,13;2,46;4662301;13931,44;0,0
Pernambuco;PE;8796448;7052210;1744238;Caqui;4;4;0;10;X;X;10;X;X;30;X;X;30;X;X;3;X;X;3;X;X;11;X;X;7;X;X;23;5;18;0;-;0;-;-;-;392,08;2492,83;6,36;277,33;1466,93;5,29;168,19;679,15;4,04;286,1;1395,34;4,88;293736;2105,45;0,01
Pernambuco;PE;8796448;7052210;1744238;Carambola;1;1;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;1401;302;1099;1;0;1;8;4;4;0,68;2,76;4,09;0,98;2,93;3;6,03;18,09;3;2,57;7,71;3;900;2,63;0,0
Pernambuco;PE;8796448;7052210;1744238;Figo;1;1;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;61;25;36;0;0;0;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Pernambuco;PE;8796448;7052210;1744238;Goiaba;2839;603;2236;34632;13044;21588;29955;10882;19074;33194;13291;19904;28548;11029;17520;1202;442;761;2906;1008;1898;4340;1494;2846;1817;634;1183;17859;3292;14567;30;5;24;410;21;389;10606,14;23593,18;2,22;12215,97;27995,43;2,29;13014,84;28457,4;2,19;15489,4;24219,85;1,56;14871628;31336,04;0,0
