Produto;Nome UF;qtd Estabelecimentos;qtd Estabelecimentos AGFNão;qtd Estabelecimentos AGFSim;qtd Produzida;qtd Produzida AGFNao;qtd Produzida AGFSim;Unidade de Medida;qtd Vendida;qtd Vendida AGFNao;qtd Vendida AGFSim;R$ Produção Total;R$ Produção AGFNao;R$ Produção AGFSim;R$ Venda Total;R$ Venda AGFNao;R$ Venda AGFSim;Sigla UF;População Total em 2010;População Urbana em 2010;População Rural em 2010;Quantidade(kg);Valor (R$);Preço Médio (R$)
Agrião;Goiás;293;81;212;292;87;205;Toneladas;277;82;194;1.813;512;1.301;1.724;474;1.250;GO;6003788;5420714;583074;108.052;723.142,68;6,69
Alcachofra;Goiás;4;-;4;1;-;1;Toneladas;1;-;1;12;-;12;12;-;12;GO;6003788;5420714;583074;2.181;24.000,24;11,00
Alecrim;Goiás;43;14;29;4;1;3;Toneladas;4;1;3;18;8;10;17;7;9;GO;6003788;5420714;583074;X;X;X
Alface;Goiás;2.703;593;2.110;14.792;4.102;10.690;Toneladas;13.080;3.720;9.360;47.711;14.319;33.392;43.174;13.233;29.941;GO;6003788;5420714;583074;1.557.903;3.495.880,17;2,24
Almeirão;Goiás;235;63;172;99;48;52;Toneladas;77;35;42;463;235;227;398;202;196;GO;6003788;5420714;583074;61.028;251.267,78;4,12
Aspargo;Goiás;4;-;4;1;-;1;Toneladas;1;-;1;15;-;15;15;-;15;GO;6003788;5420714;583074;522;11.103,65;21,27
Batata-doce;Goiás;239;43;196;5.664;1.991;3.673;Toneladas;5.632;1.982;3.650;3.684;1.397;2.287;3.631;1.392;2.239;GO;6003788;5420714;583074;104.344.704;139.250.062,96;1,33
Berinjela;Goiás;283;53;230;1.977;673;1.304;Toneladas;1.925;636;1.289;1.789;572;1.217;1.744;543;1.201;GO;6003788;5420714;583074;15.157.441;25.823.189,37;1,70
Bertalha;Goiás;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;GO;6003788;5420714;583074;X;X;X
Beterraba;Goiás;329;78;251;1.306;585;720;Toneladas;1.284;578;707;1.909;856;1.053;1.870;842;1.028;GO;6003788;5420714;583074;77.225.265;144.650.201,91;1,87
Boldo;Goiás;24;4;20;0;0;0;Toneladas;0;0;0;1;1;1;1;1;0;GO;6003788;5420714;583074;X;X;X
Camomila;Goiás;4;1;3;1;X;X;Toneladas;1;X;X;8;X;X;8;X;X;GO;6003788;5420714;583074;X;X;X
Cará;Goiás;63;12;51;771;179;593;Toneladas;770;178;592;1.118;266;853;1.116;265;850;GO;6003788;5420714;583074;76.461.959;171.809.018,60;2,25
Caruru;Goiás;4;2;2;0;X;X;Toneladas;0;X;X;1;X;X;1;X;X;GO;6003788;5420714;583074;X;X;X
Cebolinha;Goiás;1.845;407;1.438;2.125;865;1.261;Toneladas;2.004;811;1.194;10.615;4.522;6.093;9.949;4.275;5.674;GO;6003788;5420714;583074;549.833;4.637.424,99;8,43
Cenoura;Goiás;471;115;356;16.269;15.508;761;Toneladas;15.968;15.230;738;11.558;10.454;1.104;11.429;10.356;1.074;GO;6003788;5420714;583074;126.537.873;236.837.815,18;1,87
Chicória;Goiás;83;28;55;85;56;29;Toneladas;77;50;27;268;156;113;246;143;103;GO;6003788;5420714;583074;73.115;283.297,41;3,87
Chuchu;Goiás;350;84;266;8.841;2.284;6.557;Toneladas;8.799;2.272;6.527;7.872;2.018;5.854;7.825;2.004;5.821;GO;6003788;5420714;583074;82.569.520;134.066.544,03;1,62
Coentro;Goiás;1.469;316;1.153;1.327;418;909;Toneladas;1.245;376;869;7.126;2.500;4.626;6.748;2.361;4.388;GO;6003788;5420714;583074;744.180;8.259.308,96;11,10
