Produto;Nome UF;qtd Estabelecimentos;qtd Estabelecimentos AGFNão;qtd Estabelecimentos AGFSim;qtd Produzida;qtd Produzida AGFNao;qtd Produzida AGFSim;Unidade de Medida;qtd Vendida;qtd Vendida AGFNao;qtd Vendida AGFSim;R$ Produção Total;R$ Produção AGFNao;R$ Produção AGFSim;R$ Venda Total;R$ Venda AGFNao;R$ Venda AGFSim;Sigla UF;População Total em 2010;População Urbana em 2010;População Rural em 2010;Quantidade(kg);Valor (R$);Preço Médio (R$)
Quiabo;Espírito Santo;1.753;296;1.457;4.708;781;3.926;Toneladas;4.599;772;3.827;7.176;1.231;5.945;7.045;1.215;5.830;ES;3514952;2931472;583480;16.753.996;58.234.792,79;3,48
Rabanete;Espírito Santo;237;24;213;340;56;284;Toneladas;336;56;280;443;80;364;434;79;354;ES;3514952;2931472;583480;538.307;640.754,03;1,19
Repolho;Espírito Santo;2.810;253;2.557;54.041;6.754;47.287;Toneladas;50.848;6.381;44.466;15.108;1.982;13.126;14.358;1.876;12.482;ES;3514952;2931472;583480;74.598.621;65.821.049,43;0,88
Rúcula;Espírito Santo;457;37;420;629;136;493;Toneladas;622;135;488;1.216;231;985;1.200;230;971;ES;3514952;2931472;583480;377.690;1.401.688,57;3,71
Salsa;Espírito Santo;1.343;202;1.141;1.683;167;1.516;Toneladas;1.656;164;1.492;3.943;526;3.417;3.851;500;3.351;ES;3514952;2931472;583480;1.433.648;6.120.910,92;4,27
Salsa;Espírito Santo;1.343;202;1.141;1.683;167;1.516;Toneladas;1.656;164;1.492;3.943;526;3.417;3.851;500;3.351;ES;3514952;2931472;583480;48.737;173.858,50;3,57
Taioba;Espírito Santo;838;180;658;855;44;811;Toneladas;841;41;799;1.252;112;1.141;1.179;101;1.078;ES;3514952;2931472;583480;61.906;259.659,05;4,19
Abobrinha;Minas Gerais;6.836;1.364;5.472;30.075;6.927;23.148;Toneladas;29.360;6.778;22.582;25.739;5.838;19.901;24.997;5.678;19.319;MG;19597330;16715216;2882114;157.793.022;260.305.621,86;1,65
Acelga;Minas Gerais;737;189;548;3.169;966;2.203;Toneladas;3.048;915;2.133;4.329;1.129;3.200;4.174;1.069;3.105;MG;19597330;16715216;2882114;5.175.312;10.681.838,98;2,06
Agrião;Minas Gerais;1.295;274;1.021;1.945;826;1.120;Toneladas;1.825;789;1.036;5.027;1.936;3.091;4.760;1.850;2.910;MG;19597330;16715216;2882114;1.666.686;9.682.101,06;5,81
Alcachofra;Minas Gerais;13;5;8;4;2;1;Toneladas;3;2;1;30;25;5;29;25;4;MG;19597330;16715216;2882114;60.034;1.159.868,18;19,32
Alecrim;Minas Gerais;256;69;187;19;6;13;Toneladas;18;6;12;108;46;62;99;43;56;MG;19597330;16715216;2882114;20.473;240.212,33;11,73
Alface;Minas Gerais;19.088;4.033;15.055;49.782;21.687;28.095;Toneladas;45.203;20.180;25.023;120.692;48.294;72.398;108.256;43.929;64.326;MG;19597330;16715216;2882114;11.010.830;56.517.535,79;5,13
Almeirão;Minas Gerais;3.045;700;2.345;5.011;2.163;2.848;Toneladas;4.634;2.060;2.574;11.002;4.441;6.561;10.140;4.217;5.923;MG;19597330;16715216;2882114;1.383.482;5.637.754,05;4,08
Aspargo;Minas Gerais;8;4;4;0;0;0;Toneladas;0;0;0;2;2;0;2;1;0;MG;19597330;16715216;2882114;57.888;2.573.364,09;44,45
Batata-doce;Minas Gerais;1.868;328;1.540;12.624;6.778;5.846;Toneladas;12.140;6.737;5.403;12.203;4.706;7.497;11.693;4.632;7.060;MG;19597330;16715216;2882114;221.949.838;450.354.924,17;2,03
Berinjela;Minas Gerais;1.604;305;1.299;10.493;2.014;8.478;Toneladas;10.372;1.991;8.381;8.034;1.684;6.349;7.899;1.635;6.263;MG;19597330;16715216;2882114;46.964.579;75.846.718,94;1,61
Bertalha;Minas Gerais;38;12;26;6;4;2;Toneladas;6;4;2;16;10;6;14;10;4;MG;19597330;16715216;2882114;X;X;X
Beterraba;Minas Gerais;6.318;1.248;5.070;28.828;26.073;2.755;Toneladas;28.509;25.915;2.594;21.868;18.023;3.845;21.377;17.863;3.514;MG;19597330;16715216;2882114;159.424.492;278.270.301,95;1,75
Boldo;Minas Gerais;306;101;205;2;1;1;Toneladas;1;0;0;13;5;8;5;3;2;MG;19597330;16715216;2882114;X;X;X
Camomila;Minas Gerais;78;23;55;1;1;1;Toneladas;1;1;0;10;2;8;4;1;3;MG;19597330;16715216;2882114;X;X;X
Cará;Minas Gerais;304;59;245;3.885;1.389;2.496;Toneladas;3.871;1.387;2.484;5.687;1.646;4.041;5.662;1.641;4.021;MG;19597330;16715216;2882114;9.201.983;21.878.284,69;2,38
Caruru;Minas Gerais;50;9;41;21;1;21;Toneladas;21;0;20;43;2;41;41;2;39;MG;19597330;16715216;2882114;X;X;X
Cebolinha;Minas Gerais;15.633;3.336;12.297;7.269;2.123;5.145;Toneladas;6.653;2.006;4.647;34.042;9.754;24.288;30.453;9.176;21.278;MG;19597330;16715216;2882114;1.739.392;21.442.618,67;12,33
Cenoura;Minas Gerais;6.741;1.381;5.360;309.759;302.184;7.575;Toneladas;308.135;300.695;7.440;177.995;171.307;6.688;176.280;169.866;6.414;MG;19597330;16715216;2882114;377.944.031;694.950.267,25;1,84
Chicória;Minas Gerais;800;170;630;955;437;518;Toneladas;888;415;474;2.239;913;1.327;2.079;868;1.211;MG;19597330;16715216;2882114;828.082;3.481.230,74;4,20
Chuchu;Minas Gerais;3.853;789;3.064;32.614;16.507;16.107;Toneladas;31.917;16.306;15.611;21.512;9.179;12.333;20.949;9.049;11.900;MG;19597330;16715216;2882114;180.358.981;235.607.601,37;1,31
Coentro;Minas Gerais;4.860;973;3.887;1.472;357;1.116;Toneladas;1.367;341;1.026;8.077;1.944;6.133;7.420;1.834;5.586;MG;19597330;16715216;2882114;466.328;6.238.806,05;13,38
Cogumelos;Minas Gerais;50;18;32;685;534;151;Toneladas;629;485;144;7.860;4.796;3.064;7.000;4.190;2.810;MG;19597330;16715216;2882114;138.446;5.417.848,03;39,13
Couve;Minas Gerais;16.468;3.485;12.983;16.053;5.062;10.991;Toneladas;14.767;4.704;10.062;41.341;14.288;27.053;37.358;13.296;24.062;MG;19597330;16715216;2882114;4.490.919;33.685.746,83;7,50
Couve-flor;Minas Gerais;2.075;371;1.704;12.418;4.917;7.501;Toneladas;12.094;4.775;7.319;19.084;5.858;13.225;18.592;5.700;12.892;MG;19597330;16715216;2882114;X;X;X
Couve-flor;Minas Gerais;2.075;371;1.704;12.418;4.917;7.501;Toneladas;12.094;4.775;7.319;19.084;5.858;13.225;18.592;5.700;12.892;MG;19597330;16715216;2882114;85.361.061;178.776.944,58;2,09
Espinafre;Minas Gerais;1.492;311;1.181;1.798;698;1.101;Toneladas;1.692;686;1.006;3.802;1.516;2.286;3.551;1.486;2.065;MG;19597330;16715216;2882114;1.774.648;5.778.666,99;3,26
Gengibre;Minas Gerais;132;15;117;118;51;67;Toneladas;117;51;66;222;124;98;219;124;95;MG;19597330;16715216;2882114;5.160.051;20.075.452,21;3,89
Hortelã;Minas Gerais;854;205;649;262;96;166;Toneladas;257;95;162;1.337;551;787;1.301;545;756;MG;19597330;16715216;2882114;163.282;2.981.173,42;18,26
Inhame;Minas Gerais;1.870;370;1.500;10.721;4.482;6.238;Toneladas;9.584;3.516;6.067;13.828;5.304;8.524;12.619;4.368;8.251;MG;19597330;16715216;2882114;141.215.400;311.084.454,41;2,20
Jiló;Minas Gerais;6.011;1.254;4.757;17.924;5.098;12.826;Toneladas;17.575;5.043;12.532;21.516;5.718;15.797;21.026;5.626;15.399;MG;19597330;16715216;2882114;92.072.689;188.197.658,87;2,04
Lentilha;Minas Gerais;6;2;4;6;X;X;Toneladas;6;X;X;20;X;X;20;X;X;MG;19597330;16715216;2882114;X;X;X
Manjericão;Minas Gerais;522;144;378;215;56;160;Toneladas;212;55;158;992;273;718;970;265;704;MG;19597330;16715216;2882114;100.500;1.851.811,01;18,43
Maxixe;Minas Gerais;2.141;374;1.767;1.667;334;1.334;Toneladas;1.606;325;1.280;2.066;390;1.677;1.958;374;1.584;MG;19597330;16715216;2882114;2.865.541;6.832.902,62;2,38
Morango;Minas Gerais;4.911;364;4.547;92.206;13.545;78.661;Toneladas;91.963;13.532;78.430;389.007;64.813;324.194;388.020;64.757;323.263;MG;19597330;16715216;2882114;260.089.968;369.715.626,05;1,42
Morango;Minas Gerais;4.911;364;4.547;92.206;13.545;78.661;Toneladas;91.963;13.532;78.430;389.007;64.813;324.194;388.020;64.757;323.263;MG;19597330;16715216;2882114;40.529.236;366.221.278,07;9,04
Nabo;Minas Gerais;74;17;57;18;7;11;Toneladas;16;6;10;57;20;36;53;19;33;MG;19597330;16715216;2882114;269.393;3.235.274,82;12,01
Orégano;Minas Gerais;88;23;65;2;2;1;Toneladas;2;2;1;22;14;8;19;12;7;MG;19597330;16715216;2882114;12.912;424.766,01;32,90
Pepino;Minas Gerais;2.299;452;1.847;17.915;5.337;12.578;Toneladas;17.351;4.886;12.465;17.926;5.092;12.834;17.579;4.864;12.714;MG;19597330;16715216;2882114;113.175.551;216.663.802,03;1,91
Pimenta;Minas Gerais;2.426;508;1.918;1.640;369;1.271;Toneladas;1.563;347;1.215;13.468;2.114;11.354;12.750;1.964;10.786;MG;19597330;16715216;2882114;6.719.270;97.726.650,57;14,54
Pimenta;Minas Gerais;2.426;508;1.918;1.640;369;1.271;Toneladas;1.563;347;1.215;13.468;2.114;11.354;12.750;1.964;10.786;MG;19597330;16715216;2882114;109.320.269;522.027.676,41;4,78
Quiabo;Minas Gerais;10.268;2.084;8.184;23.902;7.813;16.089;Toneladas;22.111;6.449;15.662;47.668;15.824;31.843;43.321;12.402;30.919;MG;19597330;16715216;2882114;89.545.045;355.282.761,39;3,97
Rabanete;Minas Gerais;557;146;411;407;182;225;Toneladas;391;177;214;1.002;396;605;958;384;574;MG;19597330;16715216;2882114;1.223.653;7.880.629,20;6,44
Repolho;Minas Gerais;5.666;1.085;4.581;45.550;24.940;20.610;Toneladas;44.019;24.608;19.411;25.060;12.177;12.883;24.049;11.958;12.091;MG;19597330;16715216;2882114;314.573.135;360.395.209,68;1,15
Rúcula;Minas Gerais;2.491;505;1.986;2.376;1.019;1.357;Toneladas;2.261;983;1.278;9.944;4.943;5.001;9.465;4.776;4.689;MG;19597330;16715216;2882114;2.431.068;13.119.392,05;5,40
Salsa;Minas Gerais;5.297;1.163;4.134;2.017;502;1.515;Toneladas;1.818;467;1.351;10.803;2.397;8.406;9.621;2.196;7.425;MG;19597330;16715216;2882114;676.366;9.782.053,25;14,46
Salsa;Minas Gerais;5.297;1.163;4.134;2.017;502;1.515;Toneladas;1.818;467;1.351;10.803;2.397;8.406;9.621;2.196;7.425;MG;19597330;16715216;2882114;481.860;4.647.589,05;9,65
Taioba;Minas Gerais;1.379;322;1.057;422;58;364;Toneladas;375;50;325;1.078;162;916;929;133;796;MG;19597330;16715216;2882114;453.835;2.517.423,86;5,55
Abobrinha;Rio de Janeiro;2.436;357;2.079;22.343;2.449;19.894;Toneladas;21.785;2.382;19.404;14.454;1.609;12.845;14.041;1.557;12.485;RJ;15989929;15464239;525690;108.153.614;177.932.321,87;1,65
Acelga;Rio de Janeiro;190;43;147;2.250;446;1.804;Toneladas;2.192;420;1.773;1.707;371;1.336;1.646;341;1.306;RJ;15989929;15464239;525690;2.454.260;7.843.434,92;3,20
Agrião;Rio de Janeiro;433;99;334;6.710;1.070;5.640;Toneladas;6.302;1.029;5.273;7.905;1.287;6.618;7.304;1.220;6.085;RJ;15989929;15464239;525690;2.214.063;16.242.438,17;7,34
Alcachofra;Rio de Janeiro;4;1;3;0;X;X;Toneladas;0;X;X;2;X;X;1;X;X;RJ;15989929;15464239;525690;2.814;21.379,03;7,60
Alecrim;Rio de Janeiro;190;54;136;88;12;76;Toneladas;79;12;68;416;65;351;378;59;318;RJ;15989929;15464239;525690;44.138;644.164,15;14,59
Alface;Rio de Janeiro;4.237;875;3.362;98.327;11.330;86.997;Toneladas;89.482;10.179;79.303;68.318;14.934;53.384;62.622;13.491;49.131;RJ;15989929;15464239;525690;24.087.025;56.217.758,64;2,33
Almeirão;Rio de Janeiro;499;148;351;306;68;238;Toneladas;287;64;223;814;308;507;746;280;466;RJ;15989929;15464239;525690;16.746;87.723,92;5,24
Aspargo;Rio de Janeiro;2;1;1;X;X;X;Toneladas;X;X;X;X;X;X;X;X;X;RJ;15989929;15464239;525690;63.987;151.886,08;2,37
Batata-doce;Rio de Janeiro;1.196;311;885;5.170;1.032;4.138;Toneladas;5.003;971;4.032;4.760;1.013;3.747;4.471;846;3.625;RJ;15989929;15464239;525690;183.232.140;306.375.174,37;1,67
Berinjela;Rio de Janeiro;988;206;782;11.116;1.984;9.131;Toneladas;10.890;1.955;8.935;8.417;1.695;6.721;8.248;1.670;6.577;RJ;15989929;15464239;525690;56.692.763;106.465.499,49;1,88
Bertalha;Rio de Janeiro;197;54;143;1.146;170;976;Toneladas;1.138;166;972;1.956;244;1.711;1.933;232;1.701;RJ;15989929;15464239;525690;628.822;2.051.085,69;3,26
Beterraba;Rio de Janeiro;622;161;461;3.001;308;2.693;Toneladas;2.915;285;2.630;2.377;387;1.990;2.269;341;1.928;RJ;15989929;15464239;525690;63.826.496;115.322.571,09;1,81
Boldo;Rio de Janeiro;90;42;48;3;0;3;Toneladas;1;0;1;16;1;14;4;0;3;RJ;15989929;15464239;525690;X;X;X
Camomila;Rio de Janeiro;24;6;18;1;0;1;Toneladas;1;0;1;15;0;14;14;0;14;RJ;15989929;15464239;525690;X;X;X
Cará;Rio de Janeiro;82;18;64;175;23;152;Toneladas;170;22;148;213;34;178;194;30;164;RJ;15989929;15464239;525690;3.086.549;9.324.215,40;3,02
Caruru;Rio de Janeiro;49;15;34;30;3;27;Toneladas;29;2;27;142;8;134;138;5;133;RJ;15989929;15464239;525690;200;2,00;0,01
Cebolinha;Rio de Janeiro;1.609;434;1.175;5.147;698;4.449;Toneladas;4.846;607;4.238;12.534;3.024;9.510;11.495;2.548;8.947;RJ;15989929;15464239;525690;2.337.131;18.008.382,29;7,71
Cenoura;Rio de Janeiro;453;176;277;1.271;410;861;Toneladas;1.237;394;843;1.701;445;1.256;1.630;417;1.213;RJ;15989929;15464239;525690;209.471.229;544.961.342,06;2,60
Chicória;Rio de Janeiro;793;148;645;6.683;658;6.025;Toneladas;6.089;570;5.519;3.446;518;2.928;3.088;439;2.649;RJ;15989929;15464239;525690;1.271.745;2.628.921,29;2,07
Chuchu;Rio de Janeiro;1.127;269;858;37.490;7.320;30.169;Toneladas;36.888;7.232;29.656;13.311;2.579;10.732;13.001;2.528;10.473;RJ;15989929;15464239;525690;166.300.670;221.096.509,10;1,33
Coentro;Rio de Janeiro;2.399;334;2.065;6.145;822;5.323;Toneladas;5.375;449;4.927;14.980;2.214;12.765;13.274;1.386;11.888;RJ;15989929;15464239;525690;8.387.493;73.245.573,23;8,73
Cogumelos;Rio de Janeiro;27;9;18;96;60;36;Toneladas;94;58;36;3.036;2.055;982;2.981;2.010;971;RJ;15989929;15464239;525690;132.322;2.072.652,01;15,66
Couve;Rio de Janeiro;3.830;955;2.875;23.848;2.328;21.521;Toneladas;22.414;2.046;20.368;24.892;4.330;20.562;23.181;3.756;19.425;RJ;15989929;15464239;525690;14.855.626;150.275.926,27;10,12
Couve-flor;Rio de Janeiro;1.544;217;1.327;36.219;5.841;30.378;Toneladas;35.377;5.651;29.726;30.187;4.872;25.315;29.343;4.663;24.680;RJ;15989929;15464239;525690;866.208;1.372.796,19;1,58
Couve-flor;Rio de Janeiro;1.544;217;1.327;36.219;5.841;30.378;Toneladas;35.377;5.651;29.726;30.187;4.872;25.315;29.343;4.663;24.680;RJ;15989929;15464239;525690;64.535.539;176.110.706,43;2,73
Espinafre;Rio de Janeiro;785;136;649;4.023;544;3.479;Toneladas;3.724;491;3.232;5.038;1.063;3.975;4.667;954;3.713;RJ;15989929;15464239;525690;2.522.698;10.230.917,12;4,06
Gengibre;Rio de Janeiro;58;26;32;2;1;1;Toneladas;2;1;1;22;14;8;16;10;7;RJ;15989929;15464239;525690;3.514.362;11.571.962,03;3,29
Hortelã;Rio de Janeiro;456;114;342;1.861;121;1.740;Toneladas;1.763;115;1.648;3.110;305;2.805;2.997;290;2.707;RJ;15989929;15464239;525690;649.217;8.646.172,69;13,32
Inhame;Rio de Janeiro;1.388;326;1.062;6.586;1.324;5.261;Toneladas;6.430;1.299;5.131;8.179;1.648;6.531;7.951;1.602;6.349;RJ;15989929;15464239;525690;103.819.618;246.599.272,45;2,38
Jiló;Rio de Janeiro;2.462;486;1.976;20.362;3.334;17.029;Toneladas;19.781;3.235;16.546;20.787;3.696;17.091;20.234;3.592;16.643;RJ;15989929;15464239;525690;62.728.777;171.048.197,34;2,73
Lentilha;Rio de Janeiro;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;RJ;15989929;15464239;525690;35;,35;0,01
Manjericão;Rio de Janeiro;284;113;171;201;40;161;Toneladas;194;37;157;862;190;672;822;170;652;RJ;15989929;15464239;525690;181.422;1.352.685,93;7,46
Maxixe;Rio de Janeiro;421;74;347;2.300;562;1.739;Toneladas;2.264;560;1.704;2.207;551;1.656;2.149;545;1.604;RJ;15989929;15464239;525690;8.375.433;21.933.021,79;2,62
Morango;Rio de Janeiro;77;22;55;961;275;686;Toneladas;960;275;685;3.877;1.129;2.748;3.869;1.125;2.745;RJ;15989929;15464239;525690;369.956;1.137.280,98;3,07
Morango;Rio de Janeiro;77;22;55;961;275;686;Toneladas;960;275;685;3.877;1.129;2.748;3.869;1.125;2.745;RJ;15989929;15464239;525690;43.428.849;501.098.726,84;11,54
Nabo;Rio de Janeiro;102;21;81;356;7;349;Toneladas;345;6;339;336;11;324;329;10;319;RJ;15989929;15464239;525690;998.540;1.828.216,92;1,83
Orégano;Rio de Janeiro;76;36;40;6;1;5;Toneladas;6;1;5;46;6;40;39;5;35;RJ;15989929;15464239;525690;400;4,00;0,01
Pepino;Rio de Janeiro;890;148;742;14.212;2.775;11.437;Toneladas;13.940;2.714;11.225;8.369;1.591;6.778;8.224;1.564;6.660;RJ;15989929;15464239;525690;76.632.588;112.311.413,87;1,47
Pimenta;Rio de Janeiro;348;117;231;169;37;132;Toneladas;159;29;130;806;123;683;751;80;672;RJ;15989929;15464239;525690;449.815;10.868.974,86;24,16
Pimenta;Rio de Janeiro;348;117;231;169;37;132;Toneladas;159;29;130;806;123;683;751;80;672;RJ;15989929;15464239;525690;94.591.870;296.567.360,31;3,14
Quiabo;Rio de Janeiro;2.740;590;2.150;15.428;3.622;11.805;Toneladas;14.493;3.480;11.013;27.362;6.458;20.904;25.850;6.278;19.573;RJ;15989929;15464239;525690;53.636.880;170.379.689,18;3,18
Rabanete;Rio de Janeiro;179;42;137;506;32;473;Toneladas;489;29;460;830;91;739;793;79;714;RJ;15989929;15464239;525690;101.051;363.911,51;3,60
Repolho;Rio de Janeiro;1.555;219;1.336;38.733;4.836;33.897;Toneladas;36.739;4.517;32.222;16.768;2.654;14.114;15.553;2.128;13.424;RJ;15989929;15464239;525690;167.529.056;174.862.955,94;1,04
Rúcula;Rio de Janeiro;603;153;450;1.307;235;1.072;Toneladas;1.203;220;983;4.097;610;3.487;3.752;560;3.192;RJ;15989929;15464239;525690;1.022.386;8.344.720,64;8,16
Salsa;Rio de Janeiro;2.032;469;1.563;5.836;657;5.179;Toneladas;5.487;592;4.895;13.206;2.197;11.008;12.029;2.026;10.003;RJ;15989929;15464239;525690;4.986.391;23.379.805,93;4,69
Salsa;Rio de Janeiro;2.032;469;1.563;5.836;657;5.179;Toneladas;5.487;592;4.895;13.206;2.197;11.008;12.029;2.026;10.003;RJ;15989929;15464239;525690;8.161.628;10.003.232,62;1,23
Taioba;Rio de Janeiro;416;131;285;124;24;100;Toneladas;104;19;84;400;95;305;326;78;248;RJ;15989929;15464239;525690;34.574;93.457,12;2,70
Abobrinha;São Paulo;4.820;900;3.920;49.755;14.376;35.379;Toneladas;47.442;14.178;33.264;36.949;10.459;26.489;35.524;10.226;25.298;SP;41262199;39585251;1676948;255.629.824;514.860.273,65;2,01
Acelga;São Paulo;1.062;278;784;29.450;12.805;16.645;Toneladas;26.950;11.696;15.254;14.448;7.423;7.025;13.330;6.955;6.375;SP;41262199;39585251;1676948;52.937.635;154.736.247,00;2,92
Agrião;São Paulo;1.026;293;733;7.352;4.365;2.987;Toneladas;7.001;4.087;2.913;16.153;9.222;6.930;15.153;8.426;6.727;SP;41262199;39585251;1676948;14.842.014;67.706.941,25;4,56
Alcachofra;São Paulo;34;15;19;671;356;316;Toneladas;645;332;314;3.380;1.856;1.523;3.253;1.736;1.517;SP;41262199;39585251;1676948;4.292.310;102.567.279,77;23,90
Alecrim;São Paulo;243;88;155;258;91;167;Toneladas;250;84;166;1.258;468;789;1.231;447;784;SP;41262199;39585251;1676948;837.901;9.413.425,27;11,23
Alface;São Paulo;11.346;2.442;8.904;268.139;132.331;135.809;Toneladas;240.326;118.685;121.641;413.676;205.476;208.200;373.675;184.835;188.840;SP;41262199;39585251;1676948;245.323.435;627.705.222,65;2,56
Almeirão;São Paulo;4.823;969;3.854;10.253;2.923;7.330;Toneladas;9.668;2.691;6.976;25.832;6.870;18.962;24.064;6.229;17.835;SP;41262199;39585251;1676948;5.982.481;17.501.830,23;2,93
Aspargo;São Paulo;7;4;3;7;7;1;Toneladas;7;7;1;59;56;3;58;55;3;SP;41262199;39585251;1676948;2.077.443;70.632.716,83;34,00
Batata-doce;São Paulo;1.313;324;989;114.818;72.679;42.139;Toneladas;112.748;71.687;41.061;51.411;32.446;18.964;50.338;31.969;18.368;SP;41262199;39585251;1676948;342.443.960;626.130.262,96;1,83
Berinjela;São Paulo;2.684;493;2.191;27.961;9.454;18.507;Toneladas;27.242;9.171;18.071;25.057;8.877;16.180;24.465;8.606;15.859;SP;41262199;39585251;1676948;153.660.104;441.758.834,82;2,87
Bertalha;São Paulo;22;5;17;86;2;84;Toneladas;80;1;79;45;2;43;40;1;38;SP;41262199;39585251;1676948;2.118;16.687,75;7,88
Beterraba;São Paulo;1.817;469;1.348;32.110;20.022;12.088;Toneladas;30.579;18.817;11.762;17.464;10.032;7.432;15.340;8.356;6.984;SP;41262199;39585251;1676948;153.323.869;258.726.073,95;1,69
Boldo;São Paulo;65;27;38;1;1;0;Toneladas;1;1;0;6;4;2;3;2;1;SP;41262199;39585251;1676948;X;X;X
Camomila;São Paulo;24;14;10;68;67;0;Toneladas;67;67;0;79;78;1;78;77;1;SP;41262199;39585251;1676948;X;X;X
Cará;São Paulo;108;24;84;1.030;800;230;Toneladas;1.026;800;227;1.490;1.188;302;1.478;1.186;292;SP;41262199;39585251;1676948;24.582.611;64.874.650,50;2,64
Caruru;São Paulo;13;4;9;1;0;0;Toneladas;0;-;0;2;1;1;1;-;1;SP;41262199;39585251;1676948;X;X;X
Cebolinha;São Paulo;6.336;1.366;4.970;17.737;5.233;12.504;Toneladas;17.221;4.997;12.223;54.584;20.229;34.355;52.353;19.098;33.256;SP;41262199;39585251;1676948;17.455.424;115.442.889,81;6,61
Cenoura;São Paulo;1.298;319;979;19.188;10.759;8.429;Toneladas;18.836;10.631;8.205;11.635;6.803;4.831;11.309;6.635;4.674;SP;41262199;39585251;1676948;475.369.208;1.249.798.166,75;2,63
Chicória;São Paulo;1.738;432;1.306;8.849;4.761;4.088;Toneladas;7.767;4.081;3.687;13.459;6.626;6.834;12.026;5.620;6.405;SP;41262199;39585251;1676948;1.960.095;5.106.365,02;2,61
Chuchu;São Paulo;1.407;311;1.096;44.134;23.252;20.882;Toneladas;43.057;22.557;20.501;25.009;12.216;12.793;24.418;11.853;12.565;SP;41262199;39585251;1676948;289.706.425;448.639.171,64;1,55
Coentro;São Paulo;3.365;751;2.614;13.888;5.049;8.839;Toneladas;11.941;4.017;7.924;39.654;20.120;19.534;29.709;11.680;18.029;SP;41262199;39585251;1676948;15.973.741;159.489.003,44;9,98
Cogumelos;São Paulo;253;105;148;11.119;9.823;1.296;Toneladas;10.906;9.635;1.271;112.655;99.160;13.495;110.479;97.189;13.290;SP;41262199;39585251;1676948;8.319.967;222.316.003,01;26,72
Couve;São Paulo;8.133;1.698;6.435;65.057;28.153;36.904;Toneladas;60.761;26.578;34.184;110.426;52.223;58.203;103.579;49.078;54.501;SP;41262199;39585251;1676948;51.124.663;132.945.383,72;2,60
Couve-flor;São Paulo;1.636;398;1.238;36.338;18.250;18.088;Toneladas;33.111;16.018;17.093;43.124;21.428;21.696;40.333;19.590;20.743;SP;41262199;39585251;1676948;304.192;2.307.648,00;7,59
Couve-flor;São Paulo;1.636;398;1.238;36.338;18.250;18.088;Toneladas;33.111;16.018;17.093;43.124;21.428;21.696;40.333;19.590;20.743;SP;41262199;39585251;1676948;56.823.971;183.601.728,96;3,23
Espinafre;São Paulo;1.231;315;916;8.080;5.819;2.261;Toneladas;7.883;5.741;2.143;31.464;27.452;4.012;31.037;27.193;3.843;SP;41262199;39585251;1676948;15.786.509;92.207.521,27;5,84
Gengibre;São Paulo;282;65;217;3.504;712;2.791;Toneladas;3.296;650;2.646;7.196;2.011;5.185;6.697;1.796;4.901;SP;41262199;39585251;1676948;41.988.112;239.343.096,04;5,70
Hortelã;São Paulo;874;233;641;1.813;575;1.237;Toneladas;1.765;542;1.222;5.401;2.471;2.930;5.147;2.294;2.853;SP;41262199;39585251;1676948;2.717.822;60.105.906,01;22,12
Inhame;São Paulo;512;88;424;5.782;486;5.296;Toneladas;5.709;480;5.229;5.607;592;5.014;5.505;578;4.927;SP;41262199;39585251;1676948;42.185.564;119.978.552,66;2,84
Jiló;São Paulo;2.083;344;1.739;14.238;4.101;10.137;Toneladas;13.900;4.050;9.849;17.456;5.058;12.398;17.052;5.001;12.051;SP;41262199;39585251;1676948;52.017.829;170.770.344,33;3,28
Lentilha;São Paulo;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;SP;41262199;39585251;1676948;X;X;X
Manjericão;São Paulo;538;181;357;781;317;464;Toneladas;738;299;439;3.124;1.854;1.270;2.952;1.737;1.215;SP;41262199;39585251;1676948;1.996.734;39.279.412,28;19,67
Maxixe;São Paulo;754;95;659;1.199;54;1.146;Toneladas;1.173;52;1.120;1.501;76;1.425;1.472;74;1.399;SP;41262199;39585251;1676948;14.643.826;57.861.241,51;3,95
Morango;São Paulo;542;99;443;4.337;1.133;3.204;Toneladas;4.049;1.071;2.978;22.120;5.975;16.145;20.597;5.640;14.956;SP;41262199;39585251;1676948;123.777.523;255.497.206,26;2,06
Morango;São Paulo;542;99;443;4.337;1.133;3.204;Toneladas;4.049;1.071;2.978;22.120;5.975;16.145;20.597;5.640;14.956;SP;41262199;39585251;1676948;37.358.137;589.390.775,64;15,78
Nabo;São Paulo;223;47;176;1.828;540;1.288;Toneladas;1.727;529;1.198;1.579;403;1.176;1.515;388;1.127;SP;41262199;39585251;1676948;5.881.329;18.644.779,60;3,17
Orégano;São Paulo;124;50;74;70;17;53;Toneladas;67;15;52;302;87;215;289;81;209;SP;41262199;39585251;1676948;97.908;2.205.980,20;22,53
Pepino;São Paulo;3.616;603;3.013;54.804;14.414;40.390;Toneladas;54.018;14.243;39.776;46.594;12.057;34.537;45.972;11.928;34.044;SP;41262199;39585251;1676948;278.599.868;585.368.366,08;2,10
Pimenta;São Paulo;1.772;320;1.452;4.878;721;4.157;Toneladas;4.585;707;3.877;10.288;1.933;8.354;9.704;1.846;7.858;SP;41262199;39585251;1676948;34.457.175;213.045.679,95;6,18
